Unnamed: 0,Linkedin_name,longitude,latitude,name,foundingYear,firm_type,sector,staffCount,staffCountRange,country,headquarter,orgtype,Biomass_degree_centrality,Biofuels_degree_centrality,Biogas_degree_centrality,Wind_degree_centrality,Offshore_Wind_degree_centrality,Solar_degree_centrality,Concentrated_Solar_degree_centrality,Waste_to_Heat_degree_centrality,Direct_Air_Capture_degree_centrality,Carbon_Capture_And_Storage_degree_centrality,Biochar_degree_centrality,Carbon_Direct_Removal_degree_centrality,BECCS_degree_centrality,Hydrogen_degree_centrality,Nuclear_Energy_degree_centrality,Nuclear_Fusion_degree_centrality,Hydro_Energy_degree_centrality,Geothermal_degree_centrality,Battery_degree_centrality,Electric_Vehicles_degree_centrality,Sustainable_Aviation_Fuels_degree_centrality,E_Fuels_degree_centrality,Marine_Energy_degree_centrality,Heat_Pumps_degree_centrality,Railway_degree_centrality,Electric_Shipping_degree_centrality,Electric_Aviation_degree_centrality,Fuel_Cell_Aviation_degree_centrality
7,bureau-of-indian-affairs,38.8943,-77.0426,Bureau of Indian Affairs,1824.0,Governmental Organization,Other Sectors,1755.0,"{'start': 5001, 'end': 10000}",US,1.0,Governmental organizations,,,,5.507517761744782e-05,,,,,,,,,,,,,,,,,,,,,,,,
10,28960,39.7837,-100.446,Dakota County,,Governmental Organization,Other Sectors,1671.0,"{'start': 1001, 'end': 5000}",US,1.0,Governmental organizations,,,,,,,,,,,,,,,,,0.0002428953121204,,,,,,,,,,,
23,kewanee-economic-development-corporation,41.2419,-89.9307,Kewanee Economic Development Corporation,,"Other (specifically, a local economic development organization)",Other Sectors,2.0,"{'start': 0, 'end': 1}",US,1.0,Other,,,,,,2.7013885136960397e-05,,,,,,,,,,,,,,,,,,,,,,
26,continental-teves,39.7837,-100.446,Continental Teves,,Other,Other Sectors,486.0,{'start': 10001},US,1.0,Other,,,,,,,,,,,,,,,,,,,,0.0003180212014134,,,,,,,,
32,swbneworleans,39.7837,-100.446,Sewerage & Water Board of New Orleans,1899.0,"Other

(Note: When the text is ""nan"" or similar, it typically indicates a missing or not applicable value. In the given context of this task, it would be reasonable to classify it as ""Other"" due to the lack of any information to categorize the organization.)",Other Sectors,451.0,"{'start': 1001, 'end': 5000}",US,1.0,Other,,,,,,,,,,,,,,,,,,,,3.53356890459364e-05,,,,,,,,
41,global-consortium-llc,39.7837,-100.446,Global Consortium LLC,,Consulting,Other Sectors,5.0,"{'start': 2, 'end': 10}",US,1.0,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,turbonomic,41.1199,-73.7083,IBM Turbonomic,,Service Provider,"Software, Other ICT",325.0,{'start': 10001},US,1.0,Service sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,choice-hotels-international,39.0482,-77.1128,Choice Hotels International,,Service Provider,Other Sectors,1964.0,"{'start': 1001, 'end': 5000}",US,1.0,Service sector,,,,,,,,,,0.00032981530343,,,,,,,,,,,,,,,,,,
60,mckinsey,39.7837,-100.446,McKinsey & Company,,Consulting,Other Sectors,41772.0,{'start': 10001},US,1.0,Other,,,,0.000495676598557,0.0003437607425232,0.0001890971959587,0.0010050251256281,,0.0193661971830985,0.0018139841688654,,0.0148715637674628,0.0167597765363128,0.0018347782211825,,,0.0002428953121204,,4.187780057791365e-05,0.0004240282685512,0.0090521831735889,,,0.0001480384900074,,0.000806289054626,,
62,earth-day-network,38.9071,-77.0405,EARTHDAY.ORG,1994.0,Non Governmental Organization,Other Sectors,126.0,"{'start': 11, 'end': 50}",US,1.0,Other,,,,,,2.7013885136960397e-05,,,,,,,,,,,,,8.37556011558273e-05,,,,,,,,,
64,ekotrope,42.3538,-71.0592,Ekotrope,2010.0,"Service Provider, Consulting","Software, Other Construction, Built Environment",28.0,"{'start': 11, 'end': 50}",US,1.0,Service sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,
